gene,mean_cnc,mean_schwann,log2FC,pvalue
CNOT3,0.25806451612903225,0.3181818181818182,-0.30211855755201933,0.643714401397709
ALKBH2,0.3870967741935484,0.45454545454545453,-0.23172973288400778,0.6443119424887698
PIAS4,0.3225806451612903,0.25,0.3677304860795598,0.6443957108059083
LRRC75B,0.2903225806451613,0.22727272727272727,0.3532308362355179,0.6445451423974125
CNOT8,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6451853700951713
CDK13,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6451853700951715
TRIP12,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6451853700951715
DESI1,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6451853700951715
XAB2,0.25806451612903225,0.20454545454545456,0.3353088440820471,0.6451853700951715
BOD1L1,0.45161290322580644,0.36363636363636365,0.31258945743760114,0.6453278577943873
SFT2D1,0.3548387096774194,0.2727272727272727,0.3797032020656492,0.645669020880628
VAMP5,0.3548387096774194,0.20454545454545456,0.7947389380580969,0.6462072369294203
CTNNBL1,0.5161290322580645,0.6136363636363636,-0.24965174975078208,0.6462787546693647
LIMS1,0.7096774193548387,0.6136363636363636,0.2097791065546158,0.6467812461297016
CWF19L2,0.3870967741935484,0.3181818181818182,0.28284207969406006,0.6476766191574517
RPL6,36.67741935483871,39.56818181818182,-0.10944863763472679,0.6477406952669076
HBS1L,0.3870967741935484,0.3181818181818182,0.28284207969406006,0.6486800225621532
CDS2,0.41935483870967744,0.3409090909090909,0.29878363915243744,0.648855182234894
MTAP,0.41935483870967744,0.3409090909090909,0.29878363915243744,0.648855182234894
SCAMP2,0.22580645161290322,0.18181818181818182,0.3125886845710131,0.6496755308043343
GTF3C3,0.22580645161290322,0.18181818181818182,0.3125886845710131,0.6496755308043343
ALDOC,0.22580645161290322,0.18181818181818182,0.3125886845710131,0.6496755308043343
DNAJC3,0.22580645161290322,0.18181818181818182,0.3125886845710131,0.6496755308043343
SLC35B2,0.41935483870967744,0.3409090909090909,0.29878363915243744,0.6497490663840035
MRPS31,0.7096774193548387,0.6136363636363636,0.2097791065546158,0.6501511102448041
MT-CO3,58.516129032258064,54.31818181818182,0.10739914400541384,0.6503121053716311
CDK6,0.7419354838709677,0.6136363636363636,0.2739093555879981,0.650406416712686
NBEAL1,0.5161290322580645,0.4318181818181818,0.2573072490516497,0.6506880542935289
HMMR,0.6129032258064516,0.45454545454545453,0.43123390674998263,0.6517536690022545
